Prod,Scen,CostTransportation
CAUL_P,0,1190081.0121686754
CEL_P,0,447.44513004798046
CUX_P,0,660.2803339651443
LET_P,0,4742.482209472378
PEP_P,0,145.46287114259928
TOM_P,0,0
CAUL_P,1,737859.8388844437
CEL_P,1,536.6346064817773
CUX_P,1,2202.599163525887
LET_P,1,2182.9608646280367
PEP_P,1,127.18596190746857
TOM_P,1,0
CAUL_P,2,116761.71626753744
CEL_P,2,621.7272532023953
CUX_P,2,2591.9342580972925
LET_P,2,1359.755279006816
PEP_P,2,91.15743284991918
TOM_P,2,0
CAUL_P,3,1285620.7984223666
CEL_P,3,562.6136499702832
CUX_P,3,1817.7726659571456
LET_P,3,2194.3603663224385
PEP_P,3,90.76826467025145
TOM_P,3,0
CAUL_P,4,1826792.8682818399
CEL_P,4,614.5207875484987
CUX_P,4,264.5077588707172
LET_P,4,5166.810250637812
PEP_P,4,123.17912183338646
TOM_P,4,0
